"Title","Genres","Release Date","Release Country","Movie Rating","Review Rating","Movie Run Time","Plot","Cast","Language","Filming Locations","Budget"
"Double Booked (2014)"," Drama| Horror| Thriller","22-Oct-15","Canada",,6.3,"102 min","Directed by Neil Webb. With Neil Webb, Ali Webb, Cody Sparshu, John Webb. Months after a scarring event, a tight-knit group of friends are taken captive while on vacation at a cabin by a seemingly normal couple. After days of being subjected to sleep deprivation and mental torture, the group must desperately try to discover the motivation of their captors before they're taken out one by one.","Neil Webb|Ali Webb|Cody Sparshu|John Webb|Jayson Therrien|Leanne Khol Young|Scott Reid|Aadila Dosani|Sophia Lauchlin Hirt|Kerry Atkins|Jordan Flagel","English","Fernie, British Columbia, Canada",
"Tuyul: Part 1 (2015)"," Horror","9-Apr-15","Indonesia",,6.3,"95 min","Directed by Billy Christian. With Dinda Kanyadewi, Gandhi Fernando, Citra Prima, Ingrid Widjanarko. TUYUL (Toyol in English) tells a re imagine story about the Indonesian urban mythical spirit. Husband and Wife, Daniel (Gandhi Fernando) and Mia (Dinda Kanya Dewi) moves to an old house given by Mia's mother after she passed away. Daniel is the one that insists they move to her old house to saves up some money before the birth of their first born while he'll be working on his job at a tea ...","Dinda Kanyadewi|Gandhi Fernando|Citra Prima|Ingrid Widjanarko|Karina Nadila|Topan Dicky|Dini Vitri|Allan Wangsa|Bubah Alfian|Frans Nicholas|Dimas Hary|Neny Aggraeni","Indonesian","Ciloto, Indonesia",
"The Spawning (2017)"," Horror| Sci-Fi","1-Jul-17","UK",,,,"Directed by Simon Riley. With Valis Volkova, Faye Sewell, Christopher Ward, Reid Anderson. A visitor from another world hides in plain sight hoping to feast on the offspring of it's human prey.","Valis Volkova|Faye Sewell|Christopher Ward|Reid Anderson|Zoe Karpeta|Luke Richards|Kain Francis|Louise Millar|Liam Millard|Kitty Von Crypt|Tom Dixon|Colin Grist|Rosy Cheeks|Matthew Watkin|Jac Rock","English","Chester, Cheshire, England, UK",
"American Exorcist"," Horror",2017,"USA",,,,"Directed by Tony Trov, Johnny Zito. With Bill Moseley, Gemma McIlhenny, John Bolaris, John McKeever. A paranormal investigator, trapped in a haunted skyscraper on Christmas Eve. The skeptical young woman, Georgette Dubois, is horrified once confronted with the reality of the supernatural. She risks life and limb to escape her ghoulish prison, stranded on the 11th floor.","Bill Moseley|John Bolaris|Falon Joslyn|Leanna Billings|John McKeever|Gemma McIlhenny|Jeff Orens|Alexa Marie Santy|Jo Anna Van Thuyne|Liz Wagner|Paul Triggiani|Katie Kasperson|Alison Crozier|Andrew J. Kind","English","Philadelphia, Pennsylvania, USA",
"Savage Love (2012)"," Adventure| Horror| Mystery","18-May-12","Germany",,3.2,"88 min","Directed by Olaf Ittenbach. With Philippe Jacq, Dustin Semmelrogge, Witalij Kühne, Sarita Bradley.","Philippe Jacq|Dustin Semmelrogge|Witalij Kühne|Sarita Bradley|Wayne Darrin|Till Kretzschmar|Peter Brownbill|Mehmet Yilmaz|Daniel Faust|Irene Holzfurtner|Tonia Marie Rosée|Verena Konietschke|Gregor Olbrys|Annika Strauss|Myriel Brechtel","German","Bavaria, Germany",
"Creepy Campfire Stories (2015)"," Horror","19-Oct-15","Germany",,4.7,"76 min","Directed by Pascal Dieckmeyer, Daniel Konze, Alex Lotz. With Jonathan Schäble, Alex Lotz, Julia Schmausser, Diana Brumminger. It's Halloweens Eve. Eddie and Ben want to spend this special evening together with their girls around the campfire. But Nina and Melissa aren't very delighted about this idea. High above the town, they light up their fire to get in the right mood. The teens tell scary campfire stories to each other. But in this eerie night their lives will change forever... ""BRAINSCAN 3000"" (Directed by Alex ...","Jonathan Schäble|Alex Lotz|Julia Schmausser|Diana Brumminger|Troy Conner|Thomas Grieser|Marc Nadler|Alex Schäble|Vera Sparta|Yannic Hahn|Isabelle Aring|Thomas Binder|Daniel Denecke|Andreas Konze|Melissa Bindczeck","German",,"  €5,000  "
"The Haunting of Baylock Residence (2014)"," Horror| Thriller","25-Feb-14","UK",,4.9,"70 min","Directed by Anthony M. Winson. With Stacey Devonport, Fiona Shore, Michelle Darkin Price, Lindsey Parr. Patricia Woodhouse receives a letter explaining that her older sister has passed away, Patricia discovers that her sisters house has been left to her in the will. Almost immediately Patricia feels that something sinister inhabits the house.","Stacey Devonport|Fiona Shore|Michelle Darkin Price|Lindsey Parr|David 'dwyz' Wayman|Sarah Pickard|Vicky Wakefield|Avantika Sunder Raj|Andrew Spinks|Amy Gathercole","English",,"  £50  "
"Mummy Save Me (2016)"," Horror","2-Dec-16","India",,7.1,"131 min","Directed by H. Lohith. With Priyanka Upendra, Yuvina Parthavi, K.P. Sridhar. An emotional horror film which revolves around 7 months pregnant mother and her 6 year old daughter.","Priyanka Upendra|Yuvina Parthavi|K.P. Sridhar","Kannada","Bangalore, Karnataka, India","  INR 20,000,000  "
"Eyang Kubur (2013)"," Comedy| Horror","28-Nov-13","Indonesia",,5.8,"80 min","Directed by Findo Purwono. With Ray Sahetapy, Yadi Sembako, Putri Ariani, Ervan Naro. Effendy, a fortune teller, is told that he will attain great riches and power if he stays buried alive for ten days and then takes six wives. With the help of his madcap assistant Dullah, the prophecy is fulfilled and Effendy takes on the new name Eyang Kubur. The arrangement works well until four of his wives become jealous of the sixth- an aspiring actress named Wulan. The four wives murder ...","Ray Sahetapy|Yadi Sembako|Putri Ariani|Ervan Naro|Yurike Prastica|Hiromitsu Harada|Baby Margaretha|Fifie Buntaran|Manda Cello|Allanys Weber|Anri Okita|Daus Separo|Derry Drajat|Gary M. Iskak|Arya Wiguna","Japanese|Indonesian",,
"Pretham Undu Sookshikkuka (2017)"," Comedy| Horror","30-Jun-17","India",,6.8,"141 min","Directed by Mohammed Ali, Shafeer Khan. With Shine Tom Chacko, Kalhara, Santhosh Keezhattoor, Hareesh Perumanna. A haunted mansion amid Kingini Nagar Housing Colony is converted into a police station. Ghosts get provoked by the intrusion of the police. To overcome the horrible night duties, cops take the help of Babu, an outlaw yet sincere guy.","Shine Tom Chacko|Kalhara|Santhosh Keezhattoor|Hareesh Perumanna|Sunil Sukhada|Hareesh Peradi|Abu Salim|Thezni Khan|Manoj Guiness|Kalesh Kannattu","Malayalam",,
"Zombie Ninjas vs Black Ops (2015)"," Action| Adventure| Horror","1-Oct-15","USA","R",3.4,"94 min","Directed by Rody Claude. With Adam T Perkins, Kira Caine, Soa Palelei, Korum Ellis. An elite black ops team battles for survival against an indestructible force of zombie ninjas.","Adam T Perkins|Kira Caine|Soa Palelei|Korum Ellis|Kenny Low|Jason Britza|Paul Boucher|Serena Filgueira|Jared De' Har|Annisa Sukada|Neil MacKinnon|John McPherson|Troy Rodger|Tony Spencer|David Reznik","English","Perth, Western Australia, Australia",
"Meathook Massacre 3: First Hunt (2017)"," Horror","1-Oct-17","USA",,,"63 min","Directed by Jim DeVault. With Liane Langford, Robert Lankford, Leah Gradney, John Charles Dickson.","Liane Langford|Robert Lankford|Leah Gradney|John Charles Dickson|Nicole Holt|Kevin Holt|Carly Capra|Vandi Clark|Kat Elizabeth|Alex Nigo|Leela Rose|Paris Paytes|W.M. Bacon|Kevin A. Green|Sherry Liu","English",,
"Evil Exhumed (2016)"," Horror","1-Jun-16","USA","NOT RATED",2.8,"76 min","Directed by David DeCoteau. With Aisling Goodman, James Dean, Caz Odin Darko, Jayden Holman. A young man hell bent on revenge uses dark forces to reanimate a recently unearthed mummy.","Aisling Goodman|James Dean|Caz Odin Darko|Jayden Holman|Samuel Graeme Martin|Steven Harwood|Eric Roberts|Nicholas Simmons|Emrey Wright","English","British Columbia, Canada",
"The Killing Games (2012)"," Drama| Horror| Thriller","22-Apr-14","Canada",,4.4,"101 min","Directed by Barry J. Gillis. With Yunona Anders, Edwin Autridge, Vanessa Avik, Ira Bacchus. A man contemplates taking the law into his own hands, after his daughter witnesses a double homicide and narrowly escapes the grasp of two serial killers.","Yunona Anders|Edwin Autridge|Vanessa Avik|Ira Bacchus|Tammy Barker|Jennifer Beckman|Kelly A.H. Bird|Kesh Blaze|Kitty Bolin|Connie Doucet|Pierre Ellis|Scott Fortney|Barry J. Gillis|Ace Hanna|Nigel Hartwell","English","Lac Ste. Anne, Alberta, Canada",
"The Red Man (2016)"," Horror| Mystery","25-Oct-16","USA",,6.1,"98 min","Directed by Jimmie Gonzalez. With Daniel Faraldo, Michael O'Neal, Lindsey Rose Naves, Charissa Saverio. A successful DJ living in a trendy apartment building learns his psychiatrist and new neighbor may be involved in a secret society plot drugging and killing fellow celebrity tenants.","Daniel Faraldo|Michael O'Neal|Lindsey Rose Naves|Charissa Saverio|Brian J. Cano|Jayne Krashin|Labrandon Shead|Eloy Méndez|Nicholas George|Zachary A. Beaulieu|Brian Blu|Barrie Brown|Charles Cantrell|Dee Cutrone|Daniel David Diamond","English","Las Vegas, Nevada, USA",
"Seekers (2016)"," Horror","18-Mar-16","Germany",,3.1,"90 min","Directed by Michael Effenberger. With Robin Czerny, Christine Winter, Verena Puhm, Joel Sansi.","Robin Czerny|Christine Winter|Verena Puhm|Joel Sansi|Martin Rath|Oliver Troska|Melanie Fuerst|Heiko Deuerling","German",,
"Slash (2013)"," Crime| Drama| Horror| Thriller","9-Sep-13","USA","NOT RATED",7.4,"79 min","Directed by Jack Stanis. With Jack Stanis, Chris Kerr, Brianna Lilavois, Jonathan McGrath. A group of young teens are hunted down by a crazed killer who has a strong love for the Scream franchise. One of the teens, Jack Anderson, seems to be the main target for this psychopath. He must fight to survive the killers deadly Cat and Mouse game.","Jack Stanis|Chris Kerr|Brianna Lilavois|Jonathan McGrath|Laina Mott|Kendall Parish|Donya Parsa|Eric Slota","English","Long Island, New York, USA","$500 "
"Nocturnal Activity (2014)"," Horror| Sci-Fi","25-Aug-15","USA",,1.9,"80 min","Directed by Steve Lawson. With Steven Dolton, Toni Lou Frost, Jonathan Hansler, Raven Lee. Annie Dyer moves into a new apartment and quickly discovers she is not alone; a malevolent spirit repeatedly attempts to seduce her in order to possess her body as a vessel to carry out its vengeful mission.","Steven Dolton|Toni Lou Frost|Jonathan Hansler|Raven Lee","English","London, England, UK",
"R: Rage of the Zombies (2017)"," Horror","1-Jul-17","New Zealand",,,,"Directed by Fred Potts. With Hannah Elizabeth Adams, Elena Grace Andollo, Kevin Beganovic, Emily Jade Chadderton. 'R' takes place twenty years after the zombie apocalypse. The planet has been ravished by the outbreak and resources are running low for the living and the undead alike. The zombies have become even more crazed by their hunger for human flesh. The few surviving humans that remain are ruthless and malicious to the point of sometimes being even more terrifying than the zombies. An eleven year old ...","Hannah Elizabeth Adams|Elena Grace Andollo|Kevin Beganovic|Emily Jade Chadderton|Melissa Cowan|Ivan Essin|Sophie Elizabeth Gonzalez|Chaz Hill|Logan Grace Holaway|Rawinia Hughes|Zofia Miller|Phill Palmer|Rebecca Parr|Tonci Pivac|Michael Radford","English","Auckland, New Zealand",
"The Girl in the Cornfield (2016)"," Horror| Mystery","13-May-16","USA",,4.3,"81 min","Directed by Ryan Callaway. With Briana Aceti, Madeline Lupi, Tina Duong, Victoria Guthrie. Three young women traveling along a dark country road encounter a mysterious girl in a white dress who turns out to be far more than she seems.","Briana Aceti|Madeline Lupi|Tina Duong|Victoria Guthrie|Tiffany Browne-Tavarez|Mollie Sperduto|Carmine Giordano|Brielle Bercy|Ryan Callaway|Ariel Perez|Darlene Perez","English",,"$20,000 "
"Poignant (2016)"," Horror| Thriller",2016,"France",,3.8,,"Directed by Jaspreet Kaur. With Laura Mitchell, Steve Baran, Eric Schweig, Gemma Martini.","Laura Mitchell|Steve Baran|Eric Schweig|Gemma Martini|Corinna Rennie|Mia Fiona Kut|Emily Bandel|Pascal Belanger|Annalise Gardner|Christopher Gerard|Priya Rajaratnam|Dan Vaida|Geoff Waterfall","English","British Columbia, Canada","  CAD 1,200,000  "
"Chung Cu Ma (2014)"," Comedy| Horror","24-Dec-14","Vietnam",,5.4,"115 min","Directed by Van M. Pham. With Phuong Mai, Su Quang, Hoang Phuc Nguyen, Chi Pu. When moving to a new apartment, a mother and her 5-year-old son keep being haunted by an angry ghost hiding in a music box.","Phuong Mai|Su Quang|Hoang Phuc Nguyen|Chi Pu|Tien Pham|Hoai An|Chi Pu Nguyen","Vietnamese",,"$500,000 "
"American Slasher (2014)"," Crime| Drama| Horror| Mystery| Thriller","1-Feb-14","USA",,4.9,"70 min","Directed by Jeff Morris, Blake Opperman, Alex Powers. With Blake Opperman, Nikita Brown, Leah Powers, Jeff Morris. A group of teens travel to the backwoods to Camp Greenbrier to help clean it up for the upcoming Summer season. There, they discover that the infamous and legendary maniac Billy Creed is roaming the campsite.","Blake Opperman|Nikita Brown|Leah Powers|Jeff Morris|Thomas Doolittle|Sammy Hill|Brandon Minton|Alex Powers|Johnny Harrison|Christina Johnson|Frank Palangi|Jamie Stiles|Thomas Walden","English","Crossville, Tennessee, USA","$500 "
"Brutal Colors (2015)"," Drama| Horror| Thriller","23-Jun-15","USA",,3.4,"74 min","Directed by Michael Conroy. With Britt Bowman, Fred Campbell, Michael Anthony Coppola, Lauren Doucette. Famous fine artist Brie finds her mind unraveling inside her beautiful home. Could it be the mysterious and somewhat sadistic housekeeper who is behind this?","Britt Bowman|Fred Campbell|Michael Anthony Coppola|Lauren Doucette|Pooya Mohseni|John Coleman Taylor|Kevin Wright|Lorene Zammuto","English",,
"Alone in the Ghost House (2015)"," Horror","5-Jun-15","USA","TV-MA",5.1,"82 min","Directed by Henrique Couto. With Adam Scott Clevenger, Henrique Couto, Joni Durian, John Bradley Hambrick. A minor celebrity and her husband head out on the road to investigate the most haunted house in America for their very own reality show, but upon arriving at the Devil's Commune things become worse than they could have ever imagined. They wanted fame, they found HELL.","Adam Scott Clevenger|Henrique Couto|Joni Durian|John Bradley Hambrick|Erin R. Ryan|Iabou Windimere","English","Waynesville, Ohio, USA","$26,000 "
"Sunshine Girl and the Hunt for Black Eyed Kids (2012)"," Adventure| Horror| Thriller","20-Dec-12","USA",,5.2,"87 min","Directed by Nicholas J. Hagen. With Maxwell James Arnold, Aparna Brielle, Siobhan Caverly, Hannah Curry. The star of the hit series, The Haunting of Sunshine Girl, Sunshine embarks on a new adventure with her best pal, Nolan and a new sidekick Andrew. They head to Portland, Oregon in search of her favorite urban legend, Black Eyed Kids. Here they meet several witnesses who have seen BEK. This is a whole new adventure for the group and far from her normal ghostly adventures. Little does she know the ...","Maxwell James Arnold|Aparna Brielle|Siobhan Caverly|Hannah Curry|Aris Juson|Lindsae Klein|Erin Lehn|Paige McKenzie|Daniel Nelson|Andrew Paxton|Emma Pelett|Seth Renne|Ted Rooney|Mercedes Rose","English","Portland, Oregon, USA","$9,500 "
"Fall of Grace (2017)"," Horror","3-Oct-17","USA",,8.2,,"Directed by Michael Crum. With Joshua Winch, Gerald Crum, Sheri Davis, Skyler Blodgett. A troubled couple's lives descend into violence and madness after a demonic entity takes their daughter.","Joshua Winch|Gerald Crum|Sheri Davis|Skyler Blodgett|Richard S. Blake|Shanon Snedden|Devi Khajishvili|Rebekah Lynn Bruflodt|Rick Blodgett|Michael Cruz|Josh Davis|Kevin A. Green|Gilbert Hiracheta|David Holder|Cassidy Kennedy","English",,"$15,000 "
"Make Them Die Quickly (2016)"," Horror","31-Jan-16","USA",,,,"Directed by Jim Haggerty. With Irina Babushkina, Robert Youngren, Chrissy Laboy, Frank Stallone.","Irina Babushkina|Robert Youngren|Chrissy Laboy|Frank Stallone|Debbie D|Jim Haggerty|Stacey Brook Schwartz|Dennis Newman|Taralynne Nudelman|Jeorge Althaus|Jennifer Juniper|Robert Jackson|Portia Chellelynn|Dana Wine Howard|Michael Shershenovich","English","New York, USA",
"The Orange Man (2015)"," Comedy| Horror",2015,"USA",,3.5,"95 min","Directed by Stephen Folker. With Ben Rollins, Dave Juehring, Thomas Ely Sage, Jim Plovanich. In 1987 a disillusioned door to door orange salesman horrifically murders his first victim. Move forward 27 years and a land developer is buying an orange grove. He and his 3 friends plan a fishing trip to get his head around the pending transaction, unbeknownst to them, his estranged wife and her new boyfriend have also chosen the very same location for a break. The usual strange noises and ...","Ben Rollins|Dave Juehring|Thomas Ely Sage|Jim Plovanich|Glenn Harston|Trena Penson|Robert Kemp|Elle Winchester|Susan Wynne Lunning|Sue Cook|Jim Nieciecki|Jim Brockhohn|Steve Couch|Michael Banks|James Schmedding","English","Village of East Davenport, Iowa, USA","$20,000 "
"Keep Running. Zombie Soldier! (2015)"," Comedy| Horror","22-Jan-15","Thailand",,4.6,,"Directed by Tanwarin Sukkhapisit. With Somchai Kemglad, Arthit Niyomkul, Worawut Rangjing, Wiradit Srimalai. When a dead, prestigious soldier returns to a military base as a bloodthirsty zombie, rival groups of trainees come together on a wacky journey of survival.","Somchai Kemglad|Arthit Niyomkul|Worawut Rangjing|Wiradit Srimalai","Thai",,
"An American Exorcism (2017)"," Horror","1-Aug-17","UK",,,,"Directed by Edward Boase. With Vincent Riotta, Fola Evans-Akingbola, Eleanor Gecks, Miranda Wilson. When Father Ryan Stone, host of late night, low budget tv show 'American Exorcism' is confronted by his past live on tv he must confront his past and his faith by performing the first televised exorcism as the world watches.","Vincent Riotta|Fola Evans-Akingbola|Eleanor Gecks|Miranda Wilson|Daniel Holzberg|Dawa Ma|Joshua Dickinson|John Iannou|Nate Fallows|Hanako Footman|Toby Cisneros|Karla Burns|Katy Habib|Richard Carter|Mark Johnston","English",,"  £1,000,000  "
"Club Dead (2015)"," Horror","1-Nov-15","USA",,3.4,,"Directed by Paul Rocha. With Garon Atencio, Doug Bilitch, Taisha Monique Clark, Trish Cook. After many a nights of failed attempts, a group of friends obsessed with Hollywood's hottest night spot finally make it in with the help of their new friend Judy. The hot music, beautiful people and open bar lead the gang to believe this will be the best night of their lives. But, it doesn't take long until they discover that Club Dead has a dark secret- it's run by the undead and those that get ...","Garon Atencio|Doug Bilitch|Taisha Monique Clark|Trish Cook|Katie Cordero|Michael Q. Davis|Caroline Gombe|Kim Hamilton|Hope Alexandria Harris|Sophiah Koikas|Catherine Kyritsi|Suzanne LaChasse|Cheryl Lyone|Matt Masella|Doug Mattingly","English","Los Angeles, California, USA",
"Rumah kentang (2012)"," Horror","4-Oct-12","Indonesia",,6.1,"102 min","Directed by Jose Poernomo. With Shandy Aulia, Tasya Kamila, Gilang Dirgahari, Ki Kusumo. Farah and Rika are sisters who inherited their late mothers house after her sudden death. With no where else to go, they are forced to move into their late mothers place. Rika on the other hand, objects to the move, however Farah ignores her sisters plea. Having heard countless rumors about the house being haunted and called ""rumah kentang"" (trans: potato house), Farah tries her best to sell it ...","Shandy Aulia|Tasya Kamila|Gilang Dirgahari|Ki Kusumo|Medina|Chintami Atmanegara|Iszur Muchtar|Rina Nose|Daus Separo|Sonia Wibisono","Indonesian",,
"The Stray (2016)"," Horror| Thriller","5-Mar-16","USA",,6.9,"90 min","Directed by Cam Clark. With Joe Leatherman, Mark S. Esch, Matthew Finney, Rachael Klopfenstein. 1966, United States of America: Kennedy is unable to prevent the Cuban Missile crisis in 1962, creating a nuclear winter throughout the country that seems to have no end. Our nations structure collapses, our nations defenses fall and our nations people suffer from severe radiation poisoning, mutating them into ghoulish, flesh eating monsters. Tracey Arnold, the man with no direction, struggling ...","Joe Leatherman|Mark S. Esch|Matthew Finney|Rachael Klopfenstein|Richard Hackel|Nathaniel E. Barr|Cameron Carey|Ryan Woebbeking|Tony Schafer|Kelron Mixon|Christian Nash|Paul Noom|Matthew Rybicki|Simona Ciarlo|Delaney Hathaway","English","Fort Wayne, Indiana, USA",
"Almost Dead (2016)"," Drama| Horror| Thriller",2016,"Italy",,4.6,,"Directed by Giorgio Bruno. With Aylin Prandi, Sean James Sutton, Valentina Ferrante, Giovanni Geo Johnson. Hope , a researcher who studies infectious diseases , the struggle for survival in a world where a deadly virus but decimated the population .","Aylin Prandi|Sean James Sutton|Valentina Ferrante|Giovanni Geo Johnson","English","Catania, Sicily, Italy","$2,000,000 "
"3 Days Till Darkness (2017)"," Horror","27-Oct-17","USA",,,,"Directed by Pedro Echevarria. With Gabriel Manak, Jeff Kidd, Valerie Menzel, Roger A. Harrison. The story takes us through a menagerie of characters that fight for survival in a city that has gone mad.","Gabriel Manak|Jeff Kidd|Valerie Menzel|Roger A. Harrison|Pedro Echevarria|Matthew Krasnoff|Hannah Moore|Trey Maggio","English","New York City, New York, USA","$25,000 "
"O Sthree Repu Raa (2016)"," Horror","11-Mar-16","India",,4.6,"120 min","Directed by T. Ashok Kumar Reddy. With Ashish Gandhi, Kunal Kaushik, Shruthi Mol, Diksha Panth. Villagers in Andhra write 'O Sthree Repu Raa' on their outside walls to prevent ghosts from visiting their home. Is this custom based in fact or myth?","Ashish Gandhi|Kunal Kaushik|Shruthi Mol|Diksha Panth|Manali Rathod","Telugu",,
"Dogman 2: The Wrath of the Litter (2014)"," Drama| Horror| Thriller","31-Oct-14","USA",,5,"87 min","Directed by Richard Brauer. With Larry Joe Campbell, Mariann Mayberry, Kimberly Guerrero, Stacie Mitchell. It's been a year since the Dogman terrorized this Midwestern community and nearly killed Hank Purvis. But now, things seem to have settled down. Everyone has gotten back to their routine. Hank still enjoys the outdoors and loves to hunt. He and his wife, Dorothy, continue to live on their family farm in the rural Midwest. The picturesque autumn woodlands are a wonderful place to be. But things ...","Larry Joe Campbell|Mariann Mayberry|Kimberly Guerrero|Stacie Mitchell|Benjamin Busch|Brian Dungjen|Tom Emmott|Mike Kelly|Emily Richett|Cheryl Turski","English","Benzie County, Michigan, USA","$1,000,000 "
"Hobo with a Trash Can (2015)"," Action| Comedy| Horror| Sci-Fi","14-Jun-15","USA",,5.7,"89 min","Directed by Mark Charles Adams, Tonjia Atomic, Lloyd Emmons. With Marc Arturi, Tonjia Atomic, Don Ayers, James Baack. An empathic vagrant sees the horror that's discarded with the trash. The truth is in the trash.","Marc Arturi|Tonjia Atomic|Don Ayers|James Baack|Yuri Barcenas|Jay Blyth|Tina Boivin|Christina 'Million' Brown|Troy Burnett|Ron Clark|Anthony Cooney|Amber Rose Cowles|Ed Critchley|Michael Crowley|Joe DeBartolo","English","Chicago, Illinois, USA","$700 "
"Ar Ma (2016)"," Comedy| Horror","25-Aug-16","Thailand",,3.5,,"Directed by Bordeekorn Lohachala. With Ratklao Amaradit, Arpa Pawilai, Jiravich Pongpaijit, Petchtai Wongkamlao.","Ratklao Amaradit|Arpa Pawilai|Jiravich Pongpaijit|Petchtai Wongkamlao","Thai",,
"Last Weekend (2017)"," Horror","10-Jul-17","UK",,,,"Directed by Rad Brown. With Hannaj Bang Bendz, Adam Brothwell, Adie J. Brown, Rad Brown. Six youngsters decide to take a break from the rat race and their problems on a camping trip to the West Country. The relaxing time expected soon becomes an unexpected adrenaline rush.","Hannaj Bang Bendz|Adam Brothwell|Adie J. Brown|Rad Brown|Scott Daniel Brown|Yannick Budd|Alex Defert|Jonathan Vaughan Evans|Deborah Fenella|Danny Flack|Jack Gover|Andrew Hillier|Scott Hillier|Neil James|Antony Neidermayer","English","Dorset, England, UK","  £5,000  "
"Hybris (2015)"," Horror| Mystery| Thriller","28-May-15","Italy",,5.3,"83 min","Directed by Giuseppe Francesco Maione. With Tommaso Arnaldi, Claudia Genolini, Lorenzo Richelmy, Guglielmo Scilla. To grant the last wish of their dearest friend, three boys and a girl spend one night in an old, empty house in the woods. Their lives are bound by a murky past. The sudden and inexplicable disappearance of both doors and windows will force them to deal with grievances hoarded over the years, starting a massacre game which will cost them more than just a sleepless night.","Tommaso Arnaldi|Claudia Genolini|Lorenzo Richelmy|Guglielmo Scilla","Italian",,
"Haunted Campus (2016)"," Horror| Thriller","2-Jul-16","Japan",,5.9,"93 min","Directed by Satoshi Takemoto. With Yûma Nakayama, Haruka Shimazaki, Kentarô Yasui. Set at a university where a series of bizarre and unexplained phenomena are occurring the movie is the plot of the popular Haunted Campus novel put to film. Members of the 'occult study group 'Oka Ken' spring into action investigating and countering the haunting, disturbances and incidents where students are targeted.","Yûma Nakayama|Haruka Shimazaki|Kentarô Yasui","Japanese",,
"Hello Naan Pei Pesuren (2016)"," Comedy| Horror","1-Apr-16","India",,4,"110 min","Directed by S. Baskar. With Vaibhav Reddy, Aishwarya Rajesh, Oviya, Ganesh. A thief pockets a mobile phone without realizing that something sinister has made the device its home.","Vaibhav Reddy|Aishwarya Rajesh|Oviya|Ganesh|Karunakaran|Singampuli|Jangiri Madhumitha|Singapore Deepan","Tamil",,
"Community Service the Movie (2012)"," Horror","21-Jul-12","USA",,6,"69 min","Directed by Joseph Kelly. With Christopher Woods, William Meyer, Joseph Kelly, Iliana Garcia. Community Service the Movie is about a young boy, Billy, who had a rough childhood and ends up being committed to a psychiatric center. Roughly 20 years later, Billy discovers that one of his old childhood tormentors is now in charge of running community service program, which is taking place at a campground a few miles away from the psychiatric center. When Billy escapes from the institution, ...","Christopher Woods|William Meyer|Joseph Kelly|Iliana Garcia|Caitlin Kenyon|Hope Tomaselli|Renell Edwards|Marissa Mynter|Daniel Trinh|Tristan MacAvery|Ryan Berkun|Jerry Bonczyk|Peter Brozowitz|Pat Butler|Evan Charles","English",,"$100,000 "
"Phobia (2013)"," Horror| Mystery| Thriller","25-Nov-14","USA",,3.5,"84 min","Directed by Rory Douglas Abel. With Michael Jefferson, Emma Dubery, Sarah Schoofs, Peter Gregus. An agoraphobic man trapped in his own home is plagued by a violent home-invader as well as visions of his dead wife and a shadow female figure.","Michael Jefferson|Emma Dubery|Sarah Schoofs|Peter Gregus|Debbie Rochon|Sandra Palmeri|Theodore Copeland|Andrew Ruth|Hardy Winburn|Rory Douglas Abel|Elias|Denise Lacen","English","Park Slope, Brooklyn, New York City, New York, USA",
"Mold! (2012)"," Horror| Sci-Fi","21-May-13","USA",,5,,"Directed by Neil Meschino. With Ardis Campbell, Robert Fattorini, Chris Gentile, Lawrence George. Set in 1984, when the war on drugs was at its height, the story concerns a strain of mold developed by the government to wipe out Colombian coca fields. Unfortunately, during a demonstration, the mold gets out of control and proves to be deadly to more than just vegetation.","Ardis Campbell|Robert Fattorini|Chris Gentile|Lawrence George|Rick Haymes|Mike Keller|Neil Meschino|James Murphy|Luke Pendley|Derrick Peterson|David Pringle|Nicholas Russo|Julia Salka|Nathan Willis|Edward X. Young","English","Arizona, USA",
"Ovulation (2013)"," Drama| Horror| Thriller","28-Sep-13","USA","NOT RATED",7.5,"45 min","Directed by Michael Wade Johnson. With Mandi Johnson, Lynn Lowry, Chelsey Garner, Willy Adkins. Azura is woman obsessed with becoming a mother. She is meticulously monitoring her ovulation cycle to try and conceive with her apathetic boyfriend. How far will she go to become pregnant? Not everyone is conceived out of love.","Mandi Johnson|Lynn Lowry|Chelsey Garner|Willy Adkins|Colleen Elizabeth Miller|Jason Sullivan|Michael Wade Johnson|Deann Baker|Leah Uteg|Anita Nicole Brown|Michael Schmid|Lacey Nicole Montgomery|Ernest Douglas Nichols|Marcus Bradford|Quentin Martin","English","Elmwood Park, Illinois, USA",
"Amerikan Violence (2014)"," Crime| Drama| Horror| Thriller","1-Sep-14","USA",,7.9,,"Directed by Michael Horgan. With Kristopher Arnold, Steven Kasapis, Adam Raits, Kevin Moore. A rebellious youth blaming society for wrongful incarceration reunites with friends to terrorize the good citizens of Detroit by abducting random victims then forcing them to perform in their twisted online show, Amerikan Violence.","Kristopher Arnold|Steven Kasapis|Adam Raits|Kevin Moore|Kel Bacon|Kelly Bacon|Maya Bulatovic|Giovanni Cacaj|Maggie Canfield|Janet Chanh|Valerie Clare|Al Cook|Hope Crenshaw|Phil Elam|Stephen Eldorado","English","Royal Oak, Michigan, USA","$98,000 "
