"Title","Genres","Release Date","Release Country","Movie Rating","Review Rating","Movie Run Time","Plot","Cast","Language","Filming Locations","Budget"
"Voices from the Grave (2014)"," Horror","31-Aug-14","USA",,4.1,"87 min","Directed by Laurence Holloway, Richard Stoudt. With Chris Labadie, Michael Hanelin, David Nelson, Scarlett O'Neil. The dead have stories to tell a horror fan seeking the obscure.","Chris Labadie|Michael Hanelin|David Nelson|Scarlett O'Neil|Maryam Cné|Michelle Green|Bobby Shook|Sean Ryan McBride|James Leatherman|Brandon Thomas|Sarah Masters|Corey Livingston|Scarlet Fry|David C. Hayes|Stephen Kessen","English",,"$10,000 "
"Souleater (2017)"," Horror","17-Jan-17","USA",,6.1,,"Directed by Michael Lang. With Tony Armer, Johnathan Ball, Loren Blackwell, Joe Davison. In a small Florida town, the inhabitants are mysteriously disappearing. A hard core biker arrives in search of his missing daughter. He learns that a malignant force from another dimension, a Souleater, is causing the disappearances. He teams up with a burned-out sheriff and a defrocked priest to battle the creature and its zombie-like minions.","Tony Armer|Johnathan Ball|Loren Blackwell|Joe Davison|Peter Hooten|Wendi Hughes|Brian Kahrs|Don Knight|David Koepfinger|Desilyn McKeage|Gavin Roache|Thomas Noel Smith|Nathan Stevic|Kerri Stringer|Kelly Sullivan","English",,"$100,000 "
"Fantasma (2017)"," Horror| Thriller","1-May-17","USA",,7.6,,"Directed by Brett Mullen. With Caroline Williams, Kendra Carelli, Debbie Rochon, Brett Wagner. When a beautiful ballerina dancer, Adriana Mena (Kendra Carelli), lands the lead role in the upcoming Nutcracker performance, she's forced to face her demons as jealousy and tension begin to provoke the supernatural.","Caroline Williams|Kendra Carelli|Debbie Rochon|Brett Wagner|Susanne Marie Danger|Katie Carpenter|David Schifter|Tom Gore|Patrick G. Keenan|Jae Hitch|Jess Barbour|Rob Springer|Tina Reynolds|Shane Terry|Tatiana Russell","English","Richmond, Virginia, USA",
"Hell's Caretaker (2013)"," Horror| Thriller","28-Jul-13","USA",,4.2,"75 min","Directed by Philip Cappello. With Aya Beldi, Lauren Cano Zambrano, Sean Deblat, Leon Kirkland. First he took care of the house; then he took care of the people.","Aya Beldi|Lauren Cano Zambrano|Sean Deblat|Leon Kirkland|Jodi Lin|Patrick T. McGowan|Alexandra Mingione|Joey Mintz|Ian Schulz","English","Vermont, USA","$25,000 "
"Locked (2013)"," Horror| Thriller","1-Feb-13","USA",,8.8,"95 min","Directed by Eddie Lee Henderson. With Ruthie Austin, Trevor Ayala, Thomas Graham, Cameron Inman. A high school teen works at a mental hospital and hears, from a patient, of a mysterious lake house. He invites his other high school friends to party at the house. Things go from bad to worse when strange things start happening and they find out that they are trapped.","Ruthie Austin|Trevor Ayala|Thomas Graham|Cameron Inman|Corbyn Lowe|Forestt Randall|Nate Batie Scott|Matt Socia|Andrew Thomas|Haileigh Todd|Jill Waterston","English","Texas, USA",
"Amityville Creation (2017)"," Horror",2017,"USA",,,,"With Donna Hamblin, Luc Bernier, Alaina Zelch.","Donna Hamblin|Luc Bernier|Alaina Zelch","English",,
"Dead Woman's Hollow (2013)"," Crime| Drama| Horror| Romance| Thriller","24-Sep-13","USA",,5.3,"106 min","Directed by Libby McDermott. With Jeremy Bingaman, Bethany Coyle, Roger Durga Dahal, Charles Dawson. Based on a shocking true crime that took place on the Appalachian trail. Two female students set off for a camping trip into the Pennsylvania woods - but they are hunted, shot and left for dead by a mountain man after he discovers they are lesbians. A local sheriff soon begins to piece together more unsolved disappearances and murders on the trail, but can he act in time to stop more killings.","Jeremy Bingaman|Bethany Coyle|Roger Durga Dahal|Charles Dawson|Charles Dawson|Suzi Delarnoux|Koran Dunbar|Boyd Dunson|Monique Dupree|Bernardo Gomez-Kling|Christy Green|Mel Heflin|Maura Housley|Shane Huckle|Grace Kober","English",,
"Horrorween (2011)"," Comedy| Horror","26-Oct-12","USA",,5.6,,"Directed by Joe Estevez. With Jenna Jameson, William Shatner, Jay Thomas, Donald J. Trump. Some young entrepreneurs strike it rich and then move into a high class neighborhood. They try to impress their new celebrity neighbors by having a haunted house.","Jenna Jameson|William Shatner|Jay Thomas|Donald J. Trump|Tom Savini|Stuart Charno|Bill Daily|Lloyd Kaufman|Kathy Garver|Victoria De Mare|Joe Estevez|Flavor Flav|Robert Easton|Chuck McCann|R.A. Mihailoff","English","Burbank, California, USA","$10,000,000 "
"Theatre of Fear (2014)"," Horror","25-Mar-15","USA","NOT RATED",3.9,"90 min","Directed by Andrew Jones. With Jared Morgan, Lee Bane, Nathan Head, Sam Harding. The Moreau Family travel around the UK putting on an underground variety show for an adult audience. But behind the curtain there is something more sinister going on than simple entertainment.","Jared Morgan|Lee Bane|Nathan Head|Sam Harding|Shireen Ashton|Kevin Horsham|Sarah Louise Madison|Tiffany Ceri|Scott Suter|Kris Fisher|Nigel Streeter|Victor Ptak|Linda Bailey|Ritchie Bessant|Kenton Hall","English","Wales, UK",
"Grave Secrets (2013)"," Drama| Family| Horror","6-Oct-13","USA",,7.9,"75 min","Directed by David Hillenbrand. With Diane Ladd, Jennifer Stone, Kevin Brief, Christine-Olive Dobard.","Diane Ladd|Jennifer Stone|Kevin Brief|Christine-Olive Dobard|Devin Eash|Valerie Jean Garduno|Taylar Hender|Ashley Jones|Grace Kaufman|Christian Jules Le Blanc|Devan Leos|Lauren Perez|Jadon Sand|Tiger Darrien Blue Skylar|Mackenzie Brooke Smith","English","Western Heights, Los Angeles, California, USA","$1,000,000 "
"Conjoined (2013)"," Horror","27-Sep-13","USA","NOT RATED",6.4,"77 min","Directed by Joe Grisaffi. With Tom Long, Michelle Ellen Jones, Keefer Barlow, Jake Byrd. Award winning horror comedy A lonely man. An internet romance. A house with no doors. When a lonely man finds out the love of his life has a conjoined twin, who happens to be a serial killer, he must take drastic measures to keep his love life intact while keeping himself out of big trouble.","Tom Long|Michelle Ellen Jones|Keefer Barlow|Jake Byrd|Deidre Stephens|Sara Gaston|Nick W. Nicholson|Larry Wade Carrell|Derek Huey|Troy Parker|Stefan Lopez|Dan Braverman","English","Houston, Texas, USA",
"The Laughing Mask (2014)"," Crime| Horror| Thriller","31-Oct-14","USA",,6.9,"101 min","Directed by Michael Aguiar. With Floyd Adams, Arisia Aguiar, Jade Aguiar, Bill Asbury. If you're guilty, beware The Laughing Mask. Jake Johnson lost his wife and child to a psychotic killer known as Laughing Mask and goes to extreme measures to achieve his revenge.","Floyd Adams|Arisia Aguiar|Jade Aguiar|Bill Asbury|Laura Bush|Liz M. Day|Miguel AngeloTorres Diaz|Manny Dortanieves|Anthony Giovanni Elias|Flavia Falquetti|Jason Fusco|Matt Ganey|Brent 'Clutch' Gaubatz|John Hardy|Jeffrey Gwyn Jenkins","English","Orlando, Florida, USA",
"Afterparty (2013)"," Horror","13-Sep-13","Spain",,3.8,"78 min","Directed by Miguel Larraya. With Luis Fernández, Alicia Sanz, Rocío León, Ana Caldas. Carlos, an ageing teen idol, attends a wild house party filled with alcohol, drugs and sex. Nursing a hangover the next morning, he quickly realizes he is not alone in the strange house, and he may never be able to leave.","Luis Fernández|Alicia Sanz|Rocío León|Ana Caldas|Juan Blanco|Andrea Dueso|David Seijo|Úrsula Corberó|Eva Ugarte|Coté Soler|Cristina Abad|Ana Aparicio|Lukasz Arkadiusz|Carmela Azzolina|Najatt Bint","Spanish","Madrid, Spain","  €2,800,000  "
